time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,dew_point_2m_mean,precipitation_sum,cloud_cover_mean,relative_humidity_2m_mean,wind_gusts_10m_mean,wind_speed_10m_mean,winddirection_10m_dominant,surface_pressure_mean,pressure_msl_mean,daylight_duration,sunshine_duration
2025-12-28,17.887877,21.826237,14.640707,18.5331,22.760897,14.737176,14.038475,3.1909084,73.91869,79.81076,13.381973,5.676571,129.3515,1014.8617,1019.39996,39700.766,20447.37
2025-12-29,17.9607,21.92126,14.694288,18.652462,22.89143,14.841059,14.1603775,3.1772907,73.63038,80.096695,13.400627,5.6802163,129.99097,1014.6558,1019.2675,39705.754,20428.025
2025-12-30,18.046179,22.020802,14.759144,18.788698,23.038588,14.966379,14.2912655,3.1520977,73.09794,80.328384,13.446753,5.704467,130.63817,1014.55896,1019.12573,39712.883,20605.232
2025-12-31,18.136917,22.12642,14.835472,18.932508,23.192472,15.097102,14.429147,3.1174448,72.64347,80.500786,13.505757,5.7339816,131.20135,1014.3875,1018.9619,39722.01,20664.912
2026-01-01,18.243855,22.25675,14.930487,19.102211,23.376373,15.256929,14.601163,3.0686262,72.48491,80.763275,13.536519,5.755891,131.59636,1014.13556,1018.7604,39731.76,20750.518
2026-01-02,18.370565,22.39425,15.052123,19.294573,23.583014,15.444231,14.801197,3.0448496,72.375916,81.013214,13.631972,5.7942057,131.99847,1013.98987,1018.54034,39744.344,20838.004
2026-01-03,18.491673,22.520317,15.176722,19.474188,23.763363,15.622143,14.993485,3.035663,72.32884,81.264824,13.788778,5.8756866,131.7127,1013.8638,1018.3549,39756.805,20967.615
