time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,dew_point_2m_mean,precipitation_sum,cloud_cover_mean,relative_humidity_2m_mean,wind_gusts_10m_mean,wind_speed_10m_mean,winddirection_10m_dominant,surface_pressure_mean,pressure_msl_mean,daylight_duration,sunshine_duration
2025-12-28,20.399681,23.442932,18.104616,22.467442,25.859484,19.686531,18.270382,5.6919417,79.2261,87.61322,18.289087,8.3925705,153.06387,1009.4908,1016.2125,40383.0,21007.783
2025-12-29,20.364817,23.39654,18.07578,22.407564,25.793402,19.630335,18.21119,5.6402617,79.42532,87.48387,18.302937,8.388303,151.86473,1009.5661,1016.28864,40376.25,20903.223
2025-12-30,20.321589,23.349293,18.030529,22.339231,25.72705,19.56149,18.157288,5.5979333,79.44173,87.37962,18.30082,8.427042,151.12953,1009.61035,1016.3546,40369.19,20848.88
2025-12-31,20.273111,23.303461,17.980247,22.257788,25.643782,19.478619,18.09367,5.552288,79.512535,87.268936,18.34384,8.428204,149.54839,1009.6923,1016.4203,40364.285,20771.646
2026-01-01,20.22489,23.266893,17.923416,22.174366,25.565311,19.385185,18.029919,5.4873,79.49299,87.12613,18.32317,8.426296,148.64711,1009.80817,1016.4992,40361.344,20761.459
2026-01-02,20.188387,23.241629,17.875908,22.100983,25.500143,19.29919,17.978775,5.4015803,79.52303,86.97276,18.321905,8.455056,147.55597,1009.8654,1016.57275,40359.16,20834.379
2026-01-03,20.157814,23.223284,17.825317,22.035673,25.44402,19.213795,17.93609,5.3223042,79.459694,86.82407,18.335987,8.463403,146.65527,1009.9391,1016.63525,40357.836,20972.47
